title,price,rating,review
"POCO M6 Pro 5G (Forest Green, 128 GB) (6 GB RAM)","11,499",4.3,"74,158 Ratings - 5,060 Reviews"
"REDMI 12 5G (Moonstone Silver, 128 GB) (6 GB RAM)","12,999",4.3,"23,214 Ratings - 1,524 Reviews"
"Apple iPhone 15 (Black, 128 GB)","67,999",4.6,"18,061 Ratings - 1,233 Reviews"
"Motorola g84 5G (Marshmallow Blue, 256 GB) (12 GB RAM)","17,999",4.2,"34,123 Ratings - 3,553 Reviews"
"Infinix SMART 8 HD (Shiny Gold, 64 GB) (3 GB RAM)","6,399",4.3,"21,501 Ratings - 1,782 Reviews"
"Infinix SMART 8 HD (Galaxy White, 64 GB) (3 GB RAM)","6,399",4.3,"21,501 Ratings - 1,782 Reviews"
"Infinix SMART 8 HD (Timber Black, 64 GB) (3 GB RAM)","6,399",4.3,"21,501 Ratings - 1,782 Reviews"
"Infinix SMART 8 HD (Crystal Green, 64 GB) (3 GB RAM)","6,399",4.3,"21,501 Ratings - 1,782 Reviews"
"Nothing Phone (2a) 5G (Black, 256 GB) (12 GB RAM)","27,999",4.5,134 Ratings - 9 Reviews
"POCO M6 5G (Polaris Green, 128 GB) (6 GB RAM)","10,499",4.3,"9,022 Ratings - 581 Reviews"
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB) (6 GB RAM)","14,499",4.3,"1,292 Ratings - 165 Reviews"
"Apple iPhone 15 (Green, 128 GB)","67,999",4.6,"18,061 Ratings - 1,233 Reviews"
"POCO M6 5G (Orion Blue, 128 GB) (4 GB RAM)","9,499",4.3,"11,384 Ratings - 801 Reviews"
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB) (6 GB RAM)","14,499",4.3,"1,292 Ratings - 165 Reviews"
"realme C51 (Mint Green, 128 GB) (4 GB RAM)","9,499",4.3,"73,157 Ratings - 3,235 Reviews"
"Motorola g84 5G (Viva Magenta, 256 GB) (12 GB RAM)","17,999",4.2,"34,123 Ratings - 3,553 Reviews"
"vivo T2 5G (Nitro Blaze, 128 GB) (8 GB RAM)","17,999",4.3,"17,297 Ratings - 1,231 Reviews"
"MOTOROLA G04 (Sea Green, 128 GB) (8 GB RAM)","7,999",4.1,802 Ratings - 121 Reviews
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB) (4 GB RAM)","12,999",4.4,635 Ratings - 90 Reviews
